trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
193,800,5e-06,4,,0.06436630000825971,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8148125108976813,282.046875
194,800,5e-06,8,,0.03715099999681115,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8260408519179826,282.0625
195,800,1e-05,4,,0.03281179995974526,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8162477326281032,282.0625
196,800,1e-05,8,,0.06044309999560937,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8249819657157874,282.0625
197,800,2e-05,4,,0.08195969997905195,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8140486441934727,282.1171875
198,800,2e-05,8,,0.03612619999330491,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8260885339194222,282.1171875
199,800,3e-05,4,,0.027319699991494417,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8165065429725034,282.1171875
200,800,3e-05,8,,0.02736969996476546,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8264998362298807,282.1171875
201,800,5e-05,4,,0.039832099981140345,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8159208880645239,282.1171875
202,800,5e-05,8,,0.02177500003017485,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8267663163266654,282.1171875
203,800,8e-05,4,,0.023807399964425713,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8166735126971078,282.1171875
204,800,8e-05,8,,0.0311816000030376,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.826319928592756,282.140625
205,800,0.0001,4,,0.02591769996797666,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8165730549539931,282.15234375
206,800,0.0001,8,,0.02306379994843155,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8267046713753662,282.15234375
207,800,0.00015,4,,0.030373800022061914,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.816362280677022,282.16796875
208,800,0.00015,8,,0.02597409998998046,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8265660377263706,282.16796875
209,800,0.0002,4,,0.036350600013975054,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8160824230051703,282.16796875
210,800,0.0002,8,,0.03782339999452233,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.8260096175833667,282.16796875
211,800,0.0003,4,,0.028847300040069968,2478,1.0,0.0,118,4,335,0.13518966908797417,21.0,9.0,109,282,0.8164342787841224,282.17578125
212,800,0.0003,8,,0.07366440002806485,2478,1.0,0.0,109,6,335,0.13518966908797417,22.73394495412844,9.0,100,247,0.824401350729417,282.17578125
213,800,0.0005,4,,0.03959100000793114,2478,0.9931396287328491,0.006860371267150889,108,4,335,0.13612352702153596,22.787037037037038,11.0,96,239,0.814030175370207,282.17578125
214,800,0.0005,8,,0.02668820001417771,2478,0.9931396287328491,0.006860371267150889,99,6,335,0.13612352702153596,24.858585858585858,11.0,86,201,0.8246302768832139,282.17578125
215,800,0.001,4,,0.03870440000900999,2478,0.9769975786924939,0.02300242130750607,91,4,335,0.13837257331681124,26.604395604395606,16.0,74,213,0.8095859064450132,282.17578125
216,800,0.001,8,,0.02806330000748858,2478,0.9769975786924939,0.02300242130750607,83,6,335,0.13837257331681124,29.16867469879518,16.0,66,187,0.8200798153985158,282.17578125
217,1000,5e-06,4,,0.029105900030117482,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8213841995497245,282.1875
218,1000,5e-06,8,,0.055225999967660755,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8252150786194177,282.1875
219,1000,1e-05,4,,0.03156949998810887,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8212681665202628,282.1875
220,1000,1e-05,8,,0.038558200001716614,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8259755308912008,282.1875
221,1000,2e-05,4,,0.0264968000119552,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8215076927553701,282.1875
222,1000,2e-05,8,,0.02565570001024753,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.826581166545835,282.1875
223,1000,3e-05,4,,0.03316990000894293,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8211930858200001,282.1875
