trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
163,300,0.0003,4,,0.01861199998529628,35881,0.9754466152002452,0.024553384799754774,151,51,3502,0.10005714285714286,231.78807947019868,46.0,471,3727,0.9729366290808569,356.953125
209,800,0.0002,4,,0.020371699996758252,35881,0.9648560519494997,0.03514394805050025,337,66,3007,0.08685730791450029,102.7299703264095,29.0,947,4780,0.9728443024332019,357.375
139,200,0.0003,4,,0.014925600029528141,35881,0.9808533764387838,0.019146623561216214,122,47,3811,0.10828550321077457,288.4754098360656,47.0,373,3358,0.9728209383363524,355.87109375
138,200,0.0002,8,,0.01948030001949519,35881,0.987653632841894,0.012346367158105997,118,43,4132,0.11659800214459055,300.3220338983051,39.0,340,3170,0.9726384043265243,355.8515625
210,800,0.0002,8,,0.018940399982966483,35881,0.9648560519494997,0.03514394805050025,269,60,3101,0.08957250144425188,128.6988847583643,31.0,744,4406,0.9723700962192446,357.375
188,500,0.0003,8,,0.019323900050949305,35881,0.9637412558178423,0.03625874418215769,184,58,3099,0.08961827646038173,187.93478260869566,39.0,580,3971,0.9720637803653098,357.24609375
187,500,0.0003,4,,0.01953039999352768,35881,0.9637412558178423,0.03625874418215769,220,66,3099,0.08961827646038173,157.1818181818182,34.5,692,4279,0.9720538451438441,356.8828125
107,120,8e-05,4,,0.01737929997034371,35881,0.9979376271564337,0.0020623728435662514,135,36,4774,0.13332588599994413,265.23703703703706,18.0,382,3144,0.9719651086152189,352.1640625
101,120,2e-05,4,,0.03462759999092668,35881,1.0,0.0,156,36,4774,0.13305091831331345,230.00641025641025,13.5,402,3164,0.9717163833073644,355.16015625
105,120,5e-05,4,,0.03086800000164658,35881,0.9991639029012569,0.0008360970987431049,145,36,4774,0.13316225488828765,247.24827586206897,15.0,380,3167,0.9716613398509679,352.1796875
109,120,0.0001,4,,0.017957400006707758,35881,0.9964326523786963,0.003567347621303729,127,37,4771,0.13344334741140604,281.5196850393701,19.0,371,3203,0.9715374625958401,352.171875
234,1000,0.0002,8,,0.021275200007949024,35881,0.9611772247150302,0.0388227752849698,323,71,3080,0.08930642542333565,106.77399380804954,31.0,911,4676,0.9713914213368564,357.26953125
